Year,Farmers Market,Borough ,Address,Community District,Latitude,Longitude,Days of Operation,Hours of Operations,Season Dates,Accepts EBT,Open Year-Round ,Stellar Cooking Deomonstrations,Food Activities for Kids,,,
2016,Bissel Gardens Farmers' Market,Bronx,Baychester Ave & 241st St,212,40.90152793,-73.84693885,Wednesday & Saturday,9am-5pm,7/9/2016-11/19/2016,Yes,No,No,No,,,
2016,Bronx Borough Hall Greenmarket,Bronx,Grand Concourse bet 161st & 162nd Sts,204,40.82772964,-73.92223437,Tuesday ,8am-4pm,6/7/2016-11/22/2016,Yes,No,Yes,No,,,
2016,Friends of Van Cortlandt Park Amalgamated Housing Youth Farmstand,Bronx,Orloff Ave & Gale Pl ,208,40.88268166,-73.89010772,Wednesday,2pm-7pm,7/6/2016-10/26/2016,Yes,No,No,No,,,
2016,Harvest Home Co-op City Farmers' Market,Bronx,Asch Loop & Aldrich St.,210,40.87278628,-73.82615613,Wednesday,8am-4pm,7/6/2016-11/23/2016,Yes,No,No,No,,,
2016,Harvest Home Hunts Point Market,Bronx,E 163rd St & Hunts Point Ave,210,40.82099409,-73.89161474,Wednesday,8am-4pm,6/15/2016-11/23/2016,Yes,No,No,No,,,
2016,Harvest Home Jacobi Hospital Farmers' Market,Bronx,1400 Pelham Pkwy at Eastchester Rd,211,40.8574346,-73.84708009,Tuesday & Friday,8am-4pm,5/10/2016-11/22/2016,Yes,No,No,No,,,
2016,Harvest Home Mt. Eden Farmers' Market,Bronx,Mt. Eden & Morris Aves,204,40.84276419,-73.9095888,Tuesday & Thursday,8am-4pm,5/24/2016-11/22/2016,Yes,No,No,No,,,
2016,Harvest Home North Central Bronx Farmers' Market,Bronx,Mosholu Pkwy & Jerome Ave,207,40.87887971,-73.88567667,Wednesday,8am-4pm,7/6/2016-11/23/2016,Yes,No,No,No,,,
2016,Harvest Home Soundview Farmers' Market,Bronx,Morrison Ave & Harrod Pl,209,40.82905437,-73.87443772,Saturday,8am-4pm,6/18/2016-11/19/2016,Yes,No,No,No,,,
2016,Harvest Home St. Mary's Park Market,Bronx,149th St & St. Ann's Ave,201,40.81427663,-73.91295475,Thursday,8am-4pm,7/7/2016-11/17/2016,Yes,No,No,No,,,
2016,Harvest Home Sunday Farmers' Market,Bronx,"Bronx Museum, E 165th St & Grand Concourse",204,40.83092328,-73.92046361,Sunday,8am-4pm,7/10/2016-11/20/2016,Yes,No,No,No,,,
2016,Kingsbridge-Riverdale Farmers' Market,Bronx,231st St at Kingsbridge Ave,208,40.87981525,-73.90657675,Sunday,9am-5pm,6/5/2016-11/27/2016,Yes,No,No,No,,,
2016,La Familia Verde Farmers' Market,Bronx,E Tremont Ave bet LaFontaine & Arthur Aves,206,40.84649501,-73.8943382,Tuesday,8am-2pm,7/12/2016-11/15/2016,Yes,No,Yes,No,,,
2016,"Learn It, Grow It, Eat It Youthmarket",Bronx,McKinley Sq at 169th St & Boston Rd,203,40.83115177,-73.90016595,Wednesday,10:00am-3pm,7/6/2016-11/23/2016,Yes,No,No,No,,,
2016,Lincoln Hospital Greenmarket,Bronx,149th St bet Park & Morris Aves,201,40.81739612,-73.92275947,Tuesdays & Friday,8am-3pm,6/24/2016-11/22/2016,Yes,No,No,No,,,
2016,Mott Haven Farmers' Market ,Bronx,"139th St & St. Ann's Ave, at Padre Plaza Success Garden",201,40.80751388,-73.91701657,Tuesday,10am- 4pm,7/12/2016-11/15/2016,Yes,No,No,Yes,,,
2016,New York Botanical Gardens Greenmarket,Bronx,Southern Blvd bet Mosholu Pkwy & Bedford Park Blvd,207,40.86804793,-73.87909687,Wednesday ,9am-3pm,6/15/2016-11/23/2016,Yes,No,No,No,,,
2016,Norwood Youthmarket,Bronx,E Gun Hill Rd & Dekalb Ave,207,40.88222844,-73.88045976,Thursday,12pm-7pm,7/7/2016-11/17/2016,Yes,No,No,No,,,
2016,Parkchester Greenmarket,Bronx,Westchester Ave & White Plains Rd ,209,40.83305633,-73.86254119,Friday,8am-4pm,6/3/2016-11/18/2016,Yes,No,Yes,No,,,
2016,Poe Park Greenmarket,Bronx,192nd St bet Grand Concourse & Valentine Ave,207,40.86422438,-73.89579595,Tuesday ,8am-3pm,6/28/2016-11/22/2016,Yes,No,Yes,No,,,
2016,Project EATS Montefiore Farmstand,Bronx,3011 Boston Rd,212,40.86976859,-73.8572479,Wednesday,2pm-6pm,6/1/2016-11/30/2016,Yes,No,No,No,,,
2016,Riverdale Y Sunday Farmers' Market,Bronx,"MS/HS 141, Independence Ave bet 236th & 237th Sts",208,40.8883234,-73.91310735,Sunday,9am-2pm,5/8/2016-11/20/2016,No,No,No,No,,,
2016,Riverdale Youthmarket - ends in October,Bronx,256th St & Mosholu Ave,208,40.90387505,-73.90311352,Thursday,2pm-7pm,7/7/2016-10/27/2016,Yes,No,No,No,,,
2016,South Bronx Farmers' Market,Bronx,138th St bet Willis & Alexander Aves,208,40.81006105,-73.92514495,Saturday,10am-4pm,6/18/2016-11/19/2016,Yes,No,Yes,Yes,,,
2016,Taqwa Community Farmers' Market,Bronx,90 West 164th St bet Ogden & Nelson Aves Ogden Aves,204,40.83292449,-73.92938696,Saturday ,9am-4pm,7/9/2016-11/19/2016,Yes,No,No,No,,,
2016,Agape's Bounty,Brooklyn,8712 Glenwood Rd bet 87th & 88th St,318,40.64041841,-73.90965758,Saturday,8am-2pm,6/4/2016-11/19/2016,Yes,No,No,No,,,
2016,Bartel-Pritchard Square Greenmarket,Brooklyn,Prospect Park W at 15th St,306,40.66096396,-73.98020639,Wednesday & Sunday,"Wed: 8am-3pm
Sun: 9am-3pm",Year-round on Wednesdays,Yes,Yes,No,No,,,
2016,Bay Ridge Greenmarket,Brooklyn,3rd Ave & 95th St,310,40.61728571,-74.03358994,Saturday ,8am-3pm,5/7/2016-11/19/2016,Yes,No,No,No,,,
2016,Bensonhurst Greenmarket,Brooklyn,18th Ave bet 81st & 82nd Sts,311,40.60966683,-73.99975579,Sunday,9am-4pm,6/5/2016-11/20/2016,Yes,No,No,No,,,
2016,Boro Park Greenmarket,Brooklyn,14th Ave bet 49th & 50th Sts,312,40.63370403,-73.98991701,Thursday,8am-3pm,7/7/2016-11/17/2016,Yes,No,No,No,,,
2016,Brooklyn Borough Hall Greenmarket,Brooklyn,Court & Montague Sts,302,40.69372964,-73.99045606,"Tuesday, Thursday & Saturday",8am-6pm,Year-round,Yes,Yes,No,No,,,
2016,Brownsville Pitkin Avenue Youthmarket,Brooklyn,Pitkin Ave & Thomas Boyland St,316,40.66927183,-73.91355493,Saturday ,10am-3pm,7/9/2016-11/19/2016,Yes,No,No,No,,,
2016,Brownsville Rockaway Youthmarket,Brooklyn,Rockaway & Livonia Aves,316,40.66256275,-73.90892112,Friday,12pm-5pm,7/8/2016-11/18/2016,Yes,No,No,No,,,
